Rang,Code INSEE,Commune,URL Wikipédia,Département,Statut,Région,Population 2023,Population 2017,Population 2012,Population 2007,Population 1999
114,91174,Corbeil-Essonnes,https://fr.wikipedia.org/wiki/Corbeil-Essonnes,Essonne,—,Île-de-France,54471,51292,46017,41308,39378
116,49099,Cholet,https://fr.wikipedia.org/wiki/Cholet,Maine-et-Loire,Sous-préfecture,Pays de la Loire,54404,53917,54181,54371,54204
117,64102,Bayonne,https://fr.wikipedia.org/wiki/Bayonne,Pyrénées-Atlantiques,Sous-préfecture,Nouvelle-Aquitaine,54306,51228,45855,44498,40078
118,94033,Fontenay-sous-Bois,https://fr.wikipedia.org/wiki/Fontenay-sous-Bois,Val-de-Marne,—,Île-de-France,53757,52939,52998,52143,50921
119,93070,Saint-Ouen-sur-Seine,https://fr.wikipedia.org/wiki/Saint-Ouen-sur-Seine,Seine-Saint-Denis,—,Île-de-France,53615,51108,47499,43954,39722
120,06027,Cagnes-sur-Mer,https://fr.wikipedia.org/wiki/Cagnes-sur-Mer,Alpes-Maritimes,—,Provence-Alpes-Côte d'Azur,53354,50928,46686,48941,43942
121,69256,Vaulx-en-Velin,https://fr.wikipedia.org/wiki/Vaulx-en-Velin,Métropole de Lyon,—,Auvergne-Rhône-Alpes,53069,49658,43394,40626,39154
122,93031,Épinay-sur-Seine,https://fr.wikipedia.org/wiki/Épinay-sur-Seine,Seine-Saint-Denis,—,Île-de-France,52833,55084,55140,52020,46409
123,02691,Saint-Quentin,https://fr.wikipedia.org/wiki/Saint-Quentin,Aisne,Sous-préfecture,Hauts-de-France,52813,53816,56217,56471,59066
124,78586,Sartrouville,https://fr.wikipedia.org/wiki/Sartrouville,Yvelines,—,Île-de-France,52763,51967,51713,51601,50219
125,93071,Sevran,https://fr.wikipedia.org/wiki/Sevran,Seine-Saint-Denis,—,Île-de-France,52535,51016,49442,51110,47063
126,13004,Arles,https://fr.wikipedia.org/wiki/Arles,Bouches-du-Rhône,Sous-préfecture,Provence-Alpes-Côte d'Azur,51811,52548,52439,52197,50513
127,91377,Massy,https://fr.wikipedia.org/wiki/Massy,Essonne,—,Île-de-France,51729,50833,43524,40386,37712
128,81004,Albi,https://fr.wikipedia.org/wiki/Albi,Tarn,Préfecture,Occitanie,51290,48970,49231,48889,46274
